root,arabic,count,n_lemmas,top_lemmas,pos_distribution,cluster_id,cluster_name,n_surahs,meccan_share,top_co_roots,is_bridge,n_neighbor_clusters,notable
smw,سمو,381,6,samaA^' (سَمَا^ء) x310; {som (ٱسْم) x39; m~usam~FY (مُّسَمًّى) x21,"N: 97%, V: 2%",1,,81,0.703,ArD (ارض) x224; Alh (اله) x185; Elm (علم) x72; kwn (كون) x71; xlq (خلق) x66,True,82,high inter-cluster connectivity (82 clusters); appears in 80+ surahs
Alh,اله,2851,3,{ll~ah (ٱللَّه) x2699; <ila`h (إِلَٰه) x147; {ll~ahum~a (ٱللَّهُمَّ) x5,"PN: 95%, N: 5%",8,Allegiance & the Object of Worship,86,0.383,qwl (قول) x514; kwn (كون) x441; Elm (علم) x408; Amn (امن) x372; $yA (شيا) x282,True,131,high inter-cluster connectivity (131 clusters); in named cluster: Allegiance & the Object of Worship; appears in 80+ surahs
rHm,رحم,339,9,r~aHiym (رَّحِيم) x116; raHomap (رَحْمَة) x114; r~aHoma`n (رَّحْمَٰن) x57,"N: 55%, ADJ: 37%",90,Sin–Mercy Economy,62,0.667,Alh (اله) x130; rbb (ربب) x91; gfr (غفر) x91; qwl (قول) x73; kwn (كون) x64,True,72,high inter-cluster connectivity (72 clusters); in named cluster: Sin–Mercy Economy
Hmd,حمد,63,5,Hamod (حَمْد) x43; Hamiyd (حَمِيد) x17; yuHomadu (يُحْمَدُ) x1,"N: 73%, ADJ: 25%",67,,40,0.794,Alh (اله) x42; rbb (ربب) x25; qwl (قول) x18; ArD (ارض) x17; sbH (سبح) x16,True,28,high inter-cluster connectivity (28 clusters)
rbb,ربب,980,4,rab~ (رَبّ) x975; rab~a`niy~in (رَبَّٰنِيِّن) x3; rib~iy~uwn (رِبِّيُّون) x1,N: 100%,4,"Revelation, Speech & Disbelief",94,0.778,qwl (قول) x329; Alh (اله) x204; kwn (كون) x159; Elm (علم) x129; Amn (امن) x112,True,113,"noun-only; high inter-cluster connectivity (113 clusters); in named cluster: Revelation, Speech & Disbelief; appears in 80+ surahs"
Elm,علم,854,14,Ealima (عَلِمَ) x382; Ealiym (عَلِيم) x163; Eilom (عِلْم) x105,"V: 50%, N: 36%",4,"Revelation, Speech & Disbelief",85,0.58,Alh (اله) x408; qwl (قول) x230; kwn (كون) x157; rbb (ربب) x129; Amn (امن) x99,True,107,"high inter-cluster connectivity (107 clusters); in named cluster: Revelation, Speech & Disbelief; appears in 80+ surahs"
mlk,ملك,206,10,malak (مَلَك) x88; mulok (مُلْك) x48; malakato (مَلَكَتْ) x44,"N: 77%, V: 21%",43,Divine Will & Dominion,63,0.592,Alh (اله) x101; qwl (قول) x80; kwn (كون) x48; $yA (شيا) x47; smw (سمو) x41,True,71,high inter-cluster connectivity (71 clusters); in named cluster: Divine Will & Dominion
ywm,يوم,405,1,yawom (يَوْم) x405,"N: 80%, T: 20%",78,,75,0.723,Alh (اله) x125; qwm (قوم) x104; qwl (قول) x94; kwn (كون) x92; Amn (امن) x58,True,86,high inter-cluster connectivity (86 clusters)
dyn,دين,101,5,diyn (دِين) x92; dayon (دَيْن) x5; madiyniyn (مَدِينِين) x2,"N: 98%, V: 2%",19,Household Law & Lineage,40,0.485,Alh (اله) x53; kwn (كون) x25; ywm (يوم) x20; qwm (قوم) x17; Elm (علم) x16,True,35,high inter-cluster connectivity (35 clusters); in named cluster: Household Law & Lineage
Ebd,عبد,275,6,Eabod (عَبْد) x131; Eabada (عَبَدَ) x122; EaAbid (عَابِد) x11,"N: 55%, V: 45%",8,Allegiance & the Object of Worship,57,0.825,Alh (اله) x134; qwl (قول) x85; kwn (كون) x62; rbb (ربب) x47; $yA (شيا) x37,True,68,high inter-cluster connectivity (68 clusters); in named cluster: Allegiance & the Object of Worship
